"","stno","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","C0A520",316,47,2,5.18904109589041,14.4580152671756,5,46,1371,70,0
"2","C0A530",300,62,3,5.73972602739726,11.2032085561497,8,15,1408.5,91,0
"3","C0A540",292,68,5,6.92876712328767,12.7727272727273,11,15,1691,94,0
"4","C0A550",251,107,7,11.7986301369863,19.3116591928251,10,14,2457.5,104,0
"5","C0A560",298,58,9,8.60684931506849,17.5502793296089,7,34,2433,106,1
"6","C0A570",286,71,8,8.36986301369863,14.9024390243902,9,14,2155.5,104,0
"7","C0A640",305,57,3,6.2027397260274,13.5568862275449,7,16,1512.5,86,0
"8","C0A650",287,75,3,7.32739726027397,13.7860824742268,9,15,1703.5,95,0
"9","C0A660",267,92,6,9.90684931506849,19.6521739130435,10,14,1486,80,0
"10","C0A770",324,39,2,3.80547945205479,12.981308411215,4,46,979.5,65,0
"11","C0A860",254,93,18,14.8479452054795,27.0975,10,14,2456.5,94,1
"12","C0A870",279,80,6,8.93561643835617,16.226368159204,12,14,1757,89,0
"13","C0A880",280,83,2,7.24246575342466,14.768156424581,9,22,1264.5,85,0
"14","C0A890",279,85,1,7.65890410958904,14.7910052910053,10,14,1485,85,0
"15","C0A920",283,75,7,8.74657534246575,19.2319277108434,9,16,1164,75,0
"16","C0A931",255,101,9,11.2767123287671,23.123595505618,9,14,1617,79,0
"17","C0A940",295,69,1,5.71095890410959,11.84375,8,15,833.5,80,0
"18","C0A950",325,39,1,3.16438356164384,7.26415094339623,8,28,672,72,0
"19","C0A970",309,54,2,4.99315068493151,10.5959302325581,11,16,804.5,77,0
"20","C0A980",332,33,0,3.20821917808219,10.743119266055,8,46,720.5,65,0
"21","C0A9C0",320,43,2,3.78904109589041,12.9252336448598,4,46,973.5,60,0
"22","C0A9F0",323,39,3,4.18630136986301,11.8449612403101,7,46,1098,74,0
"23","C0AC40",297,64,4,6.64520547945205,11.55,11,14,1442.5,94,0
